1,1052, 1052 
2,944, 998 
3,928, 531.1111111111112 
4,964, 330.1875 
5,842, 217.5776 
6,912, 180.82458847736623 
7,914, 152.11216414929154 
8,924, 131.80197715759277 
10,792, 89.285469676 
9,906, 113.48316323559233 
11,834, 83.11367621320763 
12,960, 86.29773919011863 
14,905, 69.88337037228845 
13,954, 79.4750747593404 
15,895, 63.99169200958647 
16,927, 61.670066313714905 
17,958, 59.754272809969535 
18,932, 54.90255291898459 
19,833, 46.570988244387685 
20,907, 47.555291918132426 
21,922, 46.056436477748186 
22,931, 44.312066431761984 
23,950, 43.14342809453109 
25,909, 37.906481630719924 
24,927, 40.34454966084046 
27,889, 34.286678127744715 
26,957, 38.20726958331862 
29,894, 31.889217280545672 
28,861, 31.92905846984784 
30,863, 29.79302709326641 
31,872, 29.05802868024401 
33,914, 28.501599943935027 
32,849, 27.4100282712124 
34,706, 21.57763629678646 
35,870, 25.455370022635933 
36,825, 23.60365361797985 
37,911, 25.241817186758386 
38,807, 21.883189982722048 
39,763, 20.110398660543208 
40,903, 23.06484850786984 
41,966, 24.10952013392943 
42,911, 22.25053499511077 
43,914, 21.76093203211993 
45,811, 18.499640401443084 
44,946, 21.98306524874513 
46,891, 19.762763111535016 
47,904, 19.645401793417452 
48,938, 19.942240983648944 
49,651, 13.684226212310415 
50,885, 17.968051544338756 
51,919, 18.364910528793907 
52,685, 13.519329431309206 
53,806, 15.457692835599321 
54,924, 17.39197738062705 
55,883, 16.36492119452716 
56,961, 17.447627873385546 
57,942, 16.826955999363047 
58,960, 16.836752752285122 
59,883, 15.246551723227933 
60,905, 15.33312949585535 
61,954, 15.886519114645672 
62,940, 15.413327413035358 
63,926, 14.939121810913944 
64,972, 15.417217752928753 
65,977, 15.264253766710922 
67,887, 13.457741533759526 
66,968, 14.89438548523825 
68,587, 8.827303139770422 
70,895, 12.97052440778143 
69,897, 13.12603684281034 
72,1051, 14.78233124887294 
73,972, 13.514757530233577 
71,947, 13.518102115627519 
76,836, 11.155514136576931 
75,887, 11.978693176507193 
74,842, 11.558505821400846 
78,905, 11.749320437523469 
77,882, 11.597514530897655 
79,820, 10.526566308418232 
81,943, 11.793211868982944 
80,982, 12.404914369879451 
82,714, 8.849360384010124 
83,817, 9.948687101940402 
84,907, 10.914630855814526 
86,878, 10.33121391518887 
85,891, 10.609233514567832 
87,905, 10.519667388498725 
88,804, 9.254531724463948 
89,812, 9.226395740740472 
90,883, 9.912474849364614 
91,927, 10.29453222805736 
92,849, 9.338928970591699 
93,899, 9.7659926991611 
94,893, 9.602777037147684 
95,850, 9.047374883331972 
96,871, 9.16616760001175 
97,919, 9.567739269895343 
98,811, 8.372134237664534 
99,907, 9.24531910847628 
